# Average Pressure: 2.0498587658500003
# Average Potential Energy per Particle: -1.9070262519999999
# r	g(r)
0.002862	0.000000
0.008585	0.000000
0.014309	0.000000
0.020033	0.000000
0.025756	0.000000
0.031480	0.000000
0.037203	0.000000
0.042927	0.000000
0.048650	0.000000
0.054374	0.000000
0.060097	0.000000
0.065821	0.000000
0.071545	0.000000
0.077268	0.000000
0.082992	0.000000
0.088715	0.000000
0.094439	0.000000
0.100162	0.000000
0.105886	0.000000
0.111610	0.000000
0.117333	0.000000
0.123057	0.000000
0.128780	0.000000
0.134504	0.000000
0.140227	0.000000
0.145951	0.000000
0.151675	0.000000
0.157398	0.000000
0.163122	0.000000
0.168845	0.000000
0.174569	0.000000
0.180292	0.000000
0.186016	0.000000
0.191740	0.000000
0.197463	0.000000
0.203187	0.000000
0.208910	0.000000
0.214634	0.000000
0.220357	0.000000
0.226081	0.000000
0.231805	0.000000
0.237528	0.000000
0.243252	0.000000
0.248975	0.000000
0.254699	0.000000
0.260422	0.000000
0.266146	0.000000
0.271870	0.000000
0.277593	0.000000
0.283317	0.000000
0.289040	0.000000
0.294764	0.000000
0.300487	0.000000
0.306211	0.000000
0.311935	0.000000
0.317658	0.000000
0.323382	0.000000
0.329105	0.000000
0.334829	0.000000
0.340552	0.000000
0.346276	0.000000
0.352000	0.000000
0.357723	0.000000
0.363447	0.000000
0.369170	0.000000
0.374894	0.000000
0.380617	0.000000
0.386341	0.000000
0.392065	0.000000
0.397788	0.000000
0.403512	0.000000
0.409235	0.000000
0.414959	0.000000
0.420682	0.000000
0.426406	0.000000
0.432130	0.000000
0.437853	0.000000
0.443577	0.000000
0.449300	0.000000
0.455024	0.000000
0.460747	0.000000
0.466471	0.000000
0.472195	0.000000
0.477918	0.000000
0.483642	0.000000
0.489365	0.000000
0.495089	0.000000
0.500812	0.000000
0.506536	0.000000
0.512260	0.000000
0.517983	0.000000
0.523707	0.000000
0.529430	0.000000
0.535154	0.000000
0.540877	0.000000
0.546601	0.000000
0.552325	0.000000
0.558048	0.000000
0.563772	0.000000
0.569495	0.000000
0.575219	0.000000
0.580942	0.000000
0.586666	0.000000
0.592390	0.000000
0.598113	0.000000
0.603837	0.000000
0.609560	0.000000
0.615284	0.000000
0.621007	0.000000
0.626731	0.000000
0.632455	0.000000
0.638178	0.000000
0.643902	0.000000
0.649625	0.000000
0.655349	0.000000
0.661072	0.000000
0.666796	0.000000
0.672520	0.000000
0.678243	0.000000
0.683967	0.000000
0.689690	0.000000
0.695414	0.000000
0.701137	0.000000
0.706861	0.000000
0.712585	0.000000
0.718308	0.000000
0.724032	0.000000
0.729755	0.000000
0.735479	0.000000
0.741202	0.000000
0.746926	0.000000
0.752650	0.000000
0.758373	0.000000
0.764097	0.000000
0.769820	0.000000
0.775544	0.000000
0.781267	0.000000
0.786991	0.000000
0.792715	0.000000
0.798438	0.000000
0.804162	0.000000
0.809885	0.000000
0.815609	0.000000
0.821332	0.000000
0.827056	0.000000
0.832780	0.000000
0.838503	0.000000
0.844227	0.000000
0.849950	0.000000
0.855674	0.000000
0.861397	0.000000
0.867121	0.000000
0.872845	0.000000
0.878568	0.000300
0.884292	0.000593
0.890015	0.001170
0.895739	0.001588
0.901462	0.003707
0.907186	0.007461
0.912910	0.013902
0.918633	0.022654
0.924357	0.038917
0.930080	0.059602
0.935804	0.092083
0.941527	0.132922
0.947251	0.188522
0.952975	0.264598
0.958698	0.323470
0.964422	0.419172
0.970145	0.521831
0.975869	0.641892
0.981592	0.779328
0.987316	0.956451
0.993040	1.093614
0.998763	1.258939
1.004490	1.412284
1.010210	1.559017
1.015930	1.713926
1.021660	1.865385
1.027380	1.967161
1.033100	2.101310
1.038830	2.250642
1.044550	2.371845
1.050280	2.467902
1.056000	2.570580
1.061720	2.620131
1.067450	2.669488
1.073170	2.769355
1.078890	2.774589
1.084620	2.826637
1.090340	2.882803
1.096060	2.895881
1.101790	2.886871
1.107510	2.847664
1.113230	2.884556
1.118960	2.866503
1.124680	2.871568
1.130410	2.876292
1.136130	2.813276
1.141850	2.791187
1.147580	2.787081
1.153300	2.769591
1.159020	2.707976
1.164750	2.678011
1.170470	2.662202
1.176190	2.609472
1.181920	2.575883
1.187640	2.555797
1.193360	2.520031
1.199090	2.458641
1.204810	2.435816
1.210540	2.418688
1.216260	2.379842
1.221980	2.324004
1.227710	2.300387
1.233430	2.251977
1.239150	2.223523
1.244880	2.175686
1.250600	2.154779
1.256320	2.116839
1.262050	2.047854
1.267770	2.039643
1.273490	2.004774
1.279220	1.972855
1.284940	1.974336
1.290670	1.917845
1.296390	1.901226
1.302110	1.863772
1.307840	1.823584
1.313560	1.808264
1.319280	1.787083
1.325010	1.784678
1.330730	1.733175
1.336450	1.706104
1.342180	1.703868
1.347900	1.654994
1.353620	1.652093
1.359350	1.649559
1.365070	1.615858
1.370800	1.574892
1.376520	1.579921
1.382240	1.571717
1.387970	1.533041
1.393690	1.517610
1.399410	1.495165
1.405140	1.511294
1.410860	1.490674
1.416580	1.470742
1.422310	1.452343
1.428030	1.442543
1.433750	1.418366
1.439480	1.395312
1.445200	1.383949
1.450930	1.404643
1.456650	1.365889
1.462370	1.350503
1.468100	1.356442
1.473820	1.346035
1.479540	1.331511
1.485270	1.330776
1.490990	1.334858
1.496710	1.312410
1.502440	1.310078
1.508160	1.303922
1.513880	1.299845
1.519610	1.281542
1.525330	1.289023
1.531060	1.278614
1.536780	1.269598
1.542500	1.252012
1.548230	1.252004
1.553950	1.243807
1.559670	1.237790
1.565400	1.236652
1.571120	1.240754
1.576840	1.226263
1.582570	1.212367
1.588290	1.216964
1.594010	1.210932
1.599740	1.216497
1.605460	1.207659
1.611190	1.203336
1.616910	1.194388
1.622630	1.208200
1.628360	1.208766
1.634080	1.207688
1.639800	1.203625
1.645530	1.208659
1.651250	1.193666
1.656970	1.197417
1.662700	1.206120
1.668420	1.190161
1.674140	1.196296
1.679870	1.173009
1.685590	1.182917
1.691320	1.183066
1.697040	1.193122
1.702760	1.190030
1.708490	1.180126
1.714210	1.190632
1.719930	1.198035
1.725660	1.179753
1.731380	1.175597
1.737100	1.192513
1.742830	1.178743
1.748550	1.187069
1.754270	1.175232
1.760000	1.182488
1.765720	1.176060
1.771450	1.179623
1.777170	1.186417
1.782890	1.185080
1.788620	1.188917
1.794340	1.179617
1.800060	1.187791
1.805790	1.191819
1.811510	1.182852
1.817230	1.194604
1.822960	1.197890
1.828680	1.199998
1.834400	1.195138
1.840130	1.204105
1.845850	1.216203
1.851580	1.204405
1.857300	1.190509
1.863020	1.210445
1.868750	1.218667
1.874470	1.200653
1.880190	1.224654
1.885920	1.222150
1.891640	1.227038
1.897360	1.227144
1.903090	1.221917
1.908810	1.233966
1.914530	1.240413
1.920260	1.253328
1.925980	1.251730
1.931710	1.262580
1.937430	1.249082
1.943150	1.246491
1.948880	1.254069
1.954600	1.268568
1.960320	1.274107
1.966050	1.265619
1.971770	1.272496
1.977490	1.282385
1.983220	1.273020
1.988940	1.296282
1.994660	1.286378
2.000390	1.294054
2.006110	1.294310
2.011840	1.304218
2.017560	1.298479
2.023280	1.290605
2.029010	1.308578
2.034730	1.313429
2.040450	1.316951
2.046180	1.316374
2.051900	1.320159
2.057620	1.324701
2.063350	1.322751
2.069070	1.320638
2.074790	1.323751
2.080520	1.322286
2.086240	1.330400
2.091970	1.329988
2.097690	1.331587
2.103410	1.335534
2.109140	1.325324
2.114860	1.330517
2.120580	1.333391
2.126310	1.331119
2.132030	1.328594
2.137750	1.325953
2.143480	1.331818
2.149200	1.329223
2.154920	1.337965
2.160650	1.332077
2.166370	1.328924
2.172100	1.333693
2.177820	1.320145
2.183540	1.334034
2.189270	1.329003
2.194990	1.317535
2.200710	1.316217
2.206440	1.325247
2.212160	1.331964
2.217880	1.323803
2.223610	1.323066
2.229330	1.321246
2.235050	1.321238
2.240780	1.311246
2.246500	1.324750
2.252230	1.323850
2.257950	1.320147
2.263670	1.326525
2.269400	1.314624
2.275120	1.304370
2.280840	1.306517
2.286570	1.314432
2.292290	1.309177
2.298010	1.306198
2.303740	1.303316
2.309460	1.304143
2.315180	1.299042
2.320910	1.294384
2.326630	1.290999
2.332360	1.295661
2.338080	1.283751
2.343800	1.283247
2.349530	1.281998
2.355250	1.277634
2.360970	1.278825
2.366700	1.276472
2.372420	1.257106
2.378140	1.267206
2.383870	1.252484
2.389590	1.261566
2.395310	1.265560
2.401040	1.248219
2.406760	1.245331
2.412490	1.247671
2.418210	1.249815
2.423930	1.247646
2.429660	1.237909
2.435380	1.235067
2.441100	1.241103
2.446830	1.234063
2.452550	1.244048
2.458270	1.226780
2.464000	1.235455
2.469720	1.220638
2.475440	1.227268
2.481170	1.225491
2.486890	1.221899
2.492620	1.218047
2.498340	1.224354
2.504060	1.231640
2.509790	1.207930
2.515510	1.216591
2.521230	1.206884
2.526960	1.217099
2.532680	1.211750
2.538400	1.202120
2.544130	1.198203
2.549850	1.199636
2.555570	1.196806
2.561300	1.188424
2.567020	1.195968
2.572750	1.190336
2.578470	1.186278
2.584190	1.185765
2.589920	1.197976
2.595640	1.189568
2.601360	1.187267
2.607090	1.191214
2.612810	1.188088
2.618530	1.175213
2.624260	1.186410
2.629980	1.183095
2.635700	1.180697
2.641430	1.177828
2.647150	1.176493
2.652880	1.182716
2.658600	1.188284
2.664320	1.177994
2.670050	1.175045
2.675770	1.175010
2.681490	1.167612
2.687220	1.173699
2.692940	1.168571
2.698660	1.167103
2.704390	1.170976
2.710110	1.173386
2.715830	1.167582
2.721560	1.168104
2.727280	1.174157
2.733010	1.171044
2.738730	1.160516
2.744450	1.164987
2.750180	1.167328
2.755900	1.167748
2.761620	1.168988
2.767350	1.165732
2.773070	1.165655
2.778790	1.161083
2.784520	1.164504
2.790240	1.164597
2.795960	1.165926
2.801690	1.169507
2.807410	1.166845
2.813140	1.167782
2.818860	1.164387
2.824580	1.172844
2.830310	1.177275
2.836030	1.166579
2.841750	1.167767
2.847480	1.158932
2.853200	1.167126
2.858920	1.165193
2.864650	1.156842
2.870370	1.153823
2.876090	1.160986
2.881820	1.161834
2.887540	1.155634
2.893270	1.156492
2.898990	1.160216
2.904710	1.162569
2.910440	1.165606
2.916160	1.161103
2.921880	1.162964
2.927610	1.161139
2.933330	1.155453
2.939050	1.162251
2.944780	1.163416
2.950500	1.161901
2.956220	1.166409
2.961950	1.167122
2.967670	1.153692
2.973400	1.164615
2.979120	1.164803
2.984840	1.159989
2.990570	1.156212
2.996290	1.150175
3.002010	1.161530
3.007740	1.157303
3.013460	1.150808
3.019180	1.156897
3.024910	1.155180
3.030630	1.151542
3.036350	1.151980
3.042080	1.158992
3.047800	1.149468
3.053530	1.153203
3.059250	1.139581
3.064970	1.152670
3.070700	1.155736
3.076420	1.149592
3.082140	1.153462
3.087870	1.151596
3.093590	1.149760
3.099310	1.155251
3.105040	1.143581
3.110760	1.146908
3.116480	1.148938
3.122210	1.149603
3.127930	1.150729
3.133660	1.151767
3.139380	1.145197
3.145100	1.146924
3.150830	1.139808
3.156550	1.141260
3.162270	1.138640
3.168000	1.144052
3.173720	1.141793
3.179440	1.138901
3.185170	1.137336
3.190890	1.138676
3.196610	1.138309
3.202340	1.139226
3.208060	1.134974
3.213790	1.138562
3.219510	1.134316
3.225230	1.132656
3.230960	1.132408
3.236680	1.134324
3.242400	1.137431
3.248130	1.134031
3.253850	1.136545
3.259570	1.130768
3.265300	1.134502
3.271020	1.130513
3.276740	1.132804
3.282470	1.132201
3.288190	1.122573
3.293920	1.136295
3.299640	1.123683
3.305360	1.128236
3.311090	1.136102
3.316810	1.127667
3.322530	1.133210
3.328260	1.128729
3.333980	1.130361
3.339700	1.128308
3.345430	1.128943
3.351150	1.129392
3.356870	1.127097
3.362600	1.124852
3.368320	1.127343
3.374050	1.127503
3.379770	1.124781
3.385490	1.122842
3.391220	1.124041
3.396940	1.122565
3.402660	1.119994
3.408390	1.127276
3.414110	1.120974
3.419830	1.117463
3.425560	1.119488
3.431280	1.116878
3.437000	1.119752
3.442730	1.124410
3.448450	1.120554
3.454180	1.121835
3.459900	1.117071
3.465620	1.123533
3.471350	1.115706
3.477070	1.112315
3.482790	1.114784
3.488520	1.111281
3.494240	1.109466
3.499960	1.112347
3.505690	1.108211
3.511410	1.110914
3.517130	1.111159
3.522860	1.115862
3.528580	1.111946
3.534310	1.107829
3.540030	1.113855
3.545750	1.109995
3.551480	1.116764
3.557200	1.106085
3.562920	1.104332
3.568650	1.110309
3.574370	1.113159
3.580090	1.108264
3.585820	1.103935
3.591540	1.109906
3.597260	1.105580
3.602990	1.104854
3.608710	1.103612
3.614440	1.104050
3.620160	1.101718
3.625880	1.107374
3.631610	1.106224
3.637330	1.096964
3.643050	1.097448
3.648780	1.107115
3.654500	1.105254
3.660220	1.107793
3.665950	1.102336
3.671670	1.101875
3.677390	1.104155
3.683120	1.100768
3.688840	1.099918
3.694570	1.092167
3.700290	1.094587
3.706010	1.097730
3.711740	1.091967
3.717460	1.087450
3.723180	1.086792
3.728910	1.088433
3.734630	1.089103
3.740350	1.086079
3.746080	1.086825
3.751800	1.081948
3.757520	1.086589
3.763250	1.084866
3.768970	1.079297
3.774700	1.085866
3.780420	1.084170
3.786140	1.084655
3.791870	1.087287
3.797590	1.081514
3.803310	1.083162
3.809040	1.082873
3.814760	1.080828
3.820480	1.086403
3.826210	1.080442
3.831930	1.081524
3.837650	1.081156
3.843380	1.082472
3.849100	1.083447
3.854830	1.081472
3.860550	1.076355
3.866270	1.077627
3.872000	1.080216
3.877720	1.084265
3.883440	1.079480
3.889170	1.081401
3.894890	1.081417
3.900610	1.076136
3.906340	1.078641
3.912060	1.073753
3.917780	1.081270
3.923510	1.081383
3.929230	1.081500
3.934960	1.078379
3.940680	1.078345
3.946400	1.082636
3.952130	1.081631
3.957850	1.080295
3.963570	1.081492
3.969300	1.078412
3.975020	1.079819
3.980740	1.079787
3.986470	1.073764
3.992190	1.082900
3.997910	1.077121
4.003640	1.079920
4.009360	1.081561
4.015090	1.073196
4.020810	1.074027
4.026530	1.071325
4.032260	1.077380
4.037980	1.067030
4.043700	1.065003
4.049430	1.069668
4.055150	1.068067
4.060870	1.069014
4.066600	1.068347
4.072320	1.063865
4.078040	1.060894
4.083770	1.062967
4.089490	1.061829
4.095220	1.056341
4.100940	1.055496
4.106660	1.059338
4.112390	1.061542
4.118110	1.058108
4.123830	1.052442
4.129560	1.058942
4.135280	1.059692
4.141000	1.056501
4.146730	1.053587
4.152450	1.055260
4.158170	1.056096
4.163900	1.056699
4.169620	1.056397
4.175350	1.053230
4.181070	1.052794
4.186790	1.046679
4.192520	1.053117
4.198240	1.048486
4.203960	1.051710
4.209690	1.048153
4.215410	1.047440
4.221130	1.050448
4.226860	1.047669
4.232580	1.050194
4.238300	1.051336
4.244030	1.048812
4.249750	1.056081
4.255480	1.050555
4.261200	1.051838
4.266920	1.050220
4.272650	1.052366
4.278370	1.054754
4.284090	1.051320
4.289820	1.049359
4.295540	1.051255
4.301260	1.047532
4.306990	1.048792
4.312710	1.046546
4.318430	1.046997
4.324160	1.043918
4.329880	1.049445
4.335610	1.042659
4.341330	1.045744
4.347050	1.043730
4.352780	1.045463
4.358500	1.042914
4.364220	1.043764
4.369950	1.040679
4.375670	1.044464
4.381390	1.044169
4.387120	1.040008
4.392840	1.040812
4.398560	1.039739
4.404290	1.041781
4.410010	1.043299
4.415740	1.040368
4.421460	1.039075
4.427180	1.040776
4.432910	1.046392
4.438630	1.038932
4.444350	1.036926
4.450080	1.042153
4.455800	1.040685
4.461520	1.037936
4.467250	1.041647
4.472970	1.034865
4.478690	1.037351
4.484420	1.039038
4.490140	1.038534
4.495870	1.034986
4.501590	1.042721
4.507310	1.035433
4.513040	1.038872
4.518760	1.034829
4.524480	1.034584
4.530210	1.031000
4.535930	1.035181
4.541650	1.036213
4.547380	1.035107
4.553100	1.035150
4.558820	1.033796
4.564550	1.031605
4.570270	1.030809
4.576000	1.035415
4.581720	1.031134
4.587440	1.030319
4.593170	1.028582
4.598890	1.032740
4.604610	1.028890
4.610340	1.030495
4.616060	1.031444
4.621780	1.030968
4.627510	1.030719
4.633230	1.030721
4.638950	1.026430
4.644680	1.032521
4.650400	1.020351
4.656130	1.027413
4.661850	1.028657
4.667570	1.026577
4.673300	1.027670
4.679020	1.022867
4.684740	1.022739
4.690470	1.025753
4.696190	1.025907
4.701910	1.025371
4.707640	1.023454
4.713360	1.024063
4.719080	1.019817
4.724810	1.022652
4.730530	1.020172
4.736260	1.020409
4.741980	1.019720
4.747700	1.018159
4.753430	1.017000
4.759150	1.017303
4.764870	1.021004
4.770600	1.014595
4.776320	1.018290
4.782040	1.018965
4.787770	1.019279
