# Average Pressure: -143.83401984999998
# Average Potential Energy per Particle: -4.0162407675
# r	g(r)
0.001733	0.000000
0.005200	0.000000
0.008667	0.000000
0.012134	0.000000
0.015601	0.000000
0.019067	0.000000
0.022534	0.000000
0.026001	0.000000
0.029468	0.000000
0.032935	0.000000
0.036402	0.000000
0.039868	0.000000
0.043335	0.000000
0.046802	0.000000
0.050269	0.000000
0.053735	0.000000
0.057202	0.000000
0.060669	0.000000
0.064136	0.000000
0.067603	0.000000
0.071069	0.000000
0.074536	0.000000
0.078003	0.000000
0.081470	0.000000
0.084937	0.000000
0.088404	0.000000
0.091870	0.000000
0.095337	0.000000
0.098804	0.000000
0.102271	0.000000
0.105738	0.000000
0.109204	0.000000
0.112671	0.000000
0.116138	0.000000
0.119605	0.000000
0.123072	0.000000
0.126538	0.000000
0.130005	0.000000
0.133472	0.000000
0.136939	0.000000
0.140406	0.000000
0.143872	0.000000
0.147339	0.000000
0.150806	0.000000
0.154273	0.000000
0.157740	0.000000
0.161206	0.000000
0.164673	0.000000
0.168140	0.000000
0.171607	0.000000
0.175074	0.000000
0.178541	0.000000
0.182007	0.000000
0.185474	0.000000
0.188941	0.000000
0.192408	0.000000
0.195875	0.000000
0.199341	0.000000
0.202808	0.000000
0.206275	0.000000
0.209742	0.000000
0.213209	0.000000
0.216675	0.000000
0.220142	0.000000
0.223609	0.000000
0.227076	0.000000
0.230543	0.000000
0.234009	0.000000
0.237476	0.000000
0.240943	0.000000
0.244410	0.000000
0.247877	0.000000
0.251343	0.000000
0.254810	0.000000
0.258277	0.000000
0.261744	0.000000
0.265211	0.000000
0.268677	0.000000
0.272144	0.000000
0.275611	0.000000
0.279078	0.000000
0.282545	0.000000
0.286012	0.000000
0.289478	0.000000
0.292945	0.000000
0.296412	0.000000
0.299879	0.000000
0.303346	0.000000
0.306812	0.000000
0.310279	0.000000
0.313746	0.000000
0.317213	0.000000
0.320680	0.000000
0.324146	0.000000
0.327613	0.000000
0.331080	0.000000
0.334547	0.000000
0.338014	0.000000
0.341480	0.000000
0.344947	0.000000
0.348414	0.000000
0.351881	0.000000
0.355348	0.000000
0.358814	0.000000
0.362281	0.000000
0.365748	0.000000
0.369215	0.000000
0.372682	0.000000
0.376148	0.000000
0.379615	0.000000
0.383082	0.000000
0.386549	0.000000
0.390016	0.000000
0.393483	0.000000
0.396949	0.000000
0.400416	0.000000
0.403883	0.000000
0.407350	0.000000
0.410817	0.000000
0.414283	0.000000
0.417750	0.000000
0.421217	0.000000
0.424684	0.000000
0.428151	0.000000
0.431617	0.000000
0.435084	0.000000
0.438551	0.000000
0.442018	0.000000
0.445485	0.000000
0.448951	0.000000
0.452418	0.000000
0.455885	0.000000
0.459352	0.000000
0.462819	0.000000
0.466285	0.000000
0.469752	0.000000
0.473219	0.000000
0.476686	0.000000
0.480153	0.000000
0.483619	0.000000
0.487086	0.000000
0.490553	0.000000
0.494020	0.000000
0.497487	0.000000
0.500954	0.000000
0.504420	0.000000
0.507887	0.000000
0.511354	0.000000
0.514821	0.000000
0.518288	0.000000
0.521754	0.000000
0.525221	0.000000
0.528688	0.000000
0.532155	0.000000
0.535622	0.000000
0.539088	0.000000
0.542555	0.000000
0.546022	0.000000
0.549489	0.000000
0.552956	0.000000
0.556422	0.000000
0.559889	0.000000
0.563356	0.000000
0.566823	0.000000
0.570290	0.000000
0.573756	0.000000
0.577223	0.000000
0.580690	0.000000
0.584157	0.000000
0.587624	0.000000
0.591090	0.000000
0.594557	0.000000
0.598024	0.000000
0.601491	0.000000
0.604958	0.000000
0.608425	0.000000
0.611891	0.000000
0.615358	0.000000
0.618825	0.000000
0.622292	0.000000
0.625759	0.000000
0.629225	0.000000
0.632692	0.000000
0.636159	0.000000
0.639626	0.000000
0.643093	0.000000
0.646559	0.000000
0.650026	0.000000
0.653493	0.000000
0.656960	0.000000
0.660427	0.000000
0.663893	0.000000
0.667360	0.000000
0.670827	0.000000
0.674294	0.000000
0.677761	0.000000
0.681227	0.000000
0.684694	0.000000
0.688161	0.000000
0.691628	0.000000
0.695095	0.000000
0.698561	0.000000
0.702028	0.000000
0.705495	0.000000
0.708962	0.000000
0.712429	0.000000
0.715896	0.000000
0.719362	0.000000
0.722829	0.000000
0.726296	0.000000
0.729763	0.000000
0.733230	0.000000
0.736696	0.000000
0.740163	0.000000
0.743630	0.000000
0.747097	0.000000
0.750564	0.000000
0.754030	0.000000
0.757497	0.000000
0.760964	0.000000
0.764431	0.000000
0.767898	0.000000
0.771364	0.000000
0.774831	0.000000
0.778298	0.000000
0.781765	0.000000
0.785232	0.000000
0.788698	0.000000
0.792165	0.000000
0.795632	0.000000
0.799099	0.000000
0.802566	0.000066
0.806032	0.000000
0.809499	0.000000
0.812966	0.000064
0.816433	0.000064
0.819900	0.000316
0.823367	0.000878
0.826833	0.000995
0.830300	0.001911
0.833767	0.002752
0.837234	0.004366
0.840701	0.006255
0.844167	0.007993
0.847634	0.013016
0.851101	0.018896
0.854568	0.025495
0.858035	0.037010
0.861501	0.045418
0.864968	0.060679
0.868435	0.079415
0.871902	0.098690
0.875369	0.125425
0.878835	0.150250
0.882302	0.186148
0.885769	0.215088
0.889236	0.269966
0.892703	0.303291
0.896169	0.369173
0.899636	0.419327
0.903103	0.488402
0.906570	0.543894
0.910037	0.619316
0.913503	0.676208
0.916970	0.759827
0.920437	0.843223
0.923904	0.902092
0.927371	0.992880
0.930838	1.075668
0.934304	1.157786
0.937771	1.241853
0.941238	1.327581
0.944705	1.390156
0.948172	1.482233
0.951638	1.551059
0.955105	1.626025
0.958572	1.714116
0.962039	1.744360
0.965506	1.830624
0.968972	1.888220
0.972439	1.928271
0.975906	1.992884
0.979373	2.042659
0.982840	2.096438
0.986306	2.129879
0.989773	2.154557
0.993240	2.202623
0.996707	2.229346
1.000170	2.261596
1.003640	2.270475
1.007110	2.268365
1.010570	2.298280
1.014040	2.298135
1.017510	2.313704
1.020970	2.327380
1.024440	2.310925
1.027910	2.323163
1.031370	2.317602
1.034840	2.304045
1.038310	2.316442
1.041780	2.295489
1.045240	2.281612
1.048710	2.277487
1.052180	2.261699
1.055640	2.245380
1.059110	2.224262
1.062580	2.213424
1.066040	2.179900
1.069510	2.168726
1.072980	2.141406
1.076440	2.122242
1.079910	2.098432
1.083380	2.065539
1.086840	2.052635
1.090310	2.029410
1.093780	2.003847
1.097240	1.993147
1.100710	1.941770
1.104180	1.924437
1.107640	1.894983
1.111110	1.870815
1.114580	1.843080
1.118050	1.845949
1.121510	1.806944
1.124980	1.778525
1.128450	1.755330
1.131910	1.731788
1.135380	1.702763
1.138850	1.681989
1.142310	1.670948
1.145780	1.637378
1.149250	1.613674
1.152710	1.586515
1.156180	1.574981
1.159650	1.551859
1.163110	1.534391
1.166580	1.522003
1.170050	1.471017
1.173510	1.468142
1.176980	1.449720
1.180450	1.436550
1.183910	1.404705
1.187380	1.391180
1.190850	1.367922
1.194310	1.347326
1.197780	1.334117
1.201250	1.326604
1.204720	1.303018
1.208180	1.284631
1.211650	1.272048
1.215120	1.250953
1.218580	1.238923
1.222050	1.223847
1.225520	1.208979
1.228980	1.185479
1.232450	1.176162
1.235920	1.155185
1.239380	1.147541
1.242850	1.141012
1.246320	1.118964
1.249780	1.114997
1.253250	1.094546
1.256720	1.083751
1.260180	1.073862
1.263650	1.054241
1.267120	1.045887
1.270580	1.046216
1.274050	1.029272
1.277520	1.019029
1.280980	0.997901
1.284450	0.994427
1.287920	0.982496
1.291390	0.982069
1.294850	0.969999
1.298320	0.956024
1.301790	0.950212
1.305250	0.933345
1.308720	0.931111
1.312190	0.910572
1.315650	0.911206
1.319120	0.910600
1.322590	0.895018
1.326050	0.877605
1.329520	0.881187
1.332990	0.866681
1.336450	0.861191
1.339920	0.863085
1.343390	0.853336
1.346850	0.847145
1.350320	0.843617
1.353790	0.834964
1.357250	0.830521
1.360720	0.827533
1.364190	0.808485
1.367660	0.816914
1.371120	0.797661
1.374590	0.796995
1.378060	0.797937
1.381520	0.799995
1.384990	0.784848
1.388460	0.789069
1.391920	0.784925
1.395390	0.782383
1.398860	0.782594
1.402320	0.765803
1.405790	0.770075
1.409260	0.760726
1.412720	0.756401
1.416190	0.750243
1.419660	0.751139
1.423120	0.748932
1.426590	0.740973
1.430060	0.743579
1.433520	0.739655
1.436990	0.737347
1.440460	0.736526
1.443920	0.732974
1.447390	0.735736
1.450860	0.725964
1.454330	0.727974
1.457790	0.726936
1.461260	0.722336
1.464730	0.719238
1.468190	0.716969
1.471660	0.712791
1.475130	0.712551
1.478590	0.713121
1.482060	0.712285
1.485530	0.717054
1.488990	0.712857
1.492460	0.710579
1.495930	0.708619
1.499390	0.705970
1.502860	0.708908
1.506330	0.711663
1.509790	0.713471
1.513260	0.712229
1.516730	0.709937
1.520190	0.714005
1.523660	0.712847
1.527130	0.710362
1.530600	0.707020
1.534060	0.709681
1.537530	0.716014
1.541000	0.714604
1.544460	0.715266
1.547930	0.718009
1.551400	0.721656
1.554860	0.717527
1.558330	0.714741
1.561800	0.725896
1.565260	0.725495
1.568730	0.725989
1.572200	0.728448
1.575660	0.727318
1.579130	0.729173
1.582600	0.731939
1.586060	0.735874
1.589530	0.733895
1.593000	0.741945
1.596460	0.750834
1.599930	0.750457
1.603400	0.745231
1.606860	0.753839
1.610330	0.755662
1.613800	0.763795
1.617270	0.762620
1.620730	0.759880
1.624200	0.769239
1.627670	0.771148
1.631130	0.776901
1.634600	0.781070
1.638070	0.789522
1.641530	0.787075
1.645000	0.786792
1.648470	0.790994
1.651930	0.799377
1.655400	0.799072
1.658870	0.801883
1.662330	0.807803
1.665800	0.805149
1.669270	0.810671
1.672730	0.819361
1.676200	0.827035
1.679670	0.825704
1.683130	0.837400
1.686600	0.839999
1.690070	0.851289
1.693530	0.839907
1.697000	0.851993
1.700470	0.855534
1.703940	0.864765
1.707400	0.867031
1.710870	0.874049
1.714340	0.882407
1.717800	0.885303
1.721270	0.886531
1.724740	0.894674
1.728200	0.896625
1.731670	0.900140
1.735140	0.905061
1.738600	0.910807
1.742070	0.920995
1.745540	0.925642
1.749000	0.925727
1.752470	0.934955
1.755940	0.934424
1.759400	0.940481
1.762870	0.942489
1.766340	0.953412
1.769800	0.958162
1.773270	0.957502
1.776740	0.963692
1.780210	0.973222
1.783670	0.978407
1.787140	0.980404
1.790610	0.989233
1.794070	0.986299
1.797540	0.996588
1.801010	1.000946
1.804470	1.003160
1.807940	1.010761
1.811410	1.013151
1.814870	1.019636
1.818340	1.031823
1.821810	1.033596
1.825270	1.035417
1.828740	1.045324
1.832210	1.043764
1.835670	1.054989
1.839140	1.059750
1.842610	1.053675
1.846070	1.065737
1.849540	1.071662
1.853010	1.076333
1.856470	1.083257
1.859940	1.091239
1.863410	1.087060
1.866880	1.093687
1.870340	1.097194
1.873810	1.100172
1.877280	1.111961
1.880740	1.109860
1.884210	1.117059
1.887680	1.116812
1.891140	1.124905
1.894610	1.126760
1.898080	1.127320
1.901540	1.128998
1.905010	1.135645
1.908480	1.144056
1.911940	1.146051
1.915410	1.144457
1.918880	1.147481
1.922340	1.163119
1.925810	1.152677
1.929280	1.158760
1.932740	1.160057
1.936210	1.162733
1.939680	1.172138
1.943140	1.172699
1.946610	1.173573
1.950080	1.169024
1.953550	1.177856
1.957010	1.172176
1.960480	1.176506
1.963950	1.176874
1.967410	1.180627
1.970880	1.183163
1.974350	1.174398
1.977810	1.186662
1.981280	1.184884
1.984750	1.183186
1.988210	1.180742
1.991680	1.177095
1.995150	1.179405
1.998610	1.177380
2.002080	1.172003
2.005550	1.184694
2.009010	1.176818
2.012480	1.184701
2.015950	1.174353
2.019410	1.174713
2.022880	1.173672
2.026350	1.169048
2.029820	1.167359
2.033280	1.161726
2.036750	1.169047
2.040220	1.165087
2.043680	1.165394
2.047150	1.159714
2.050620	1.155786
2.054080	1.156562
2.057550	1.154013
2.061020	1.146612
2.064480	1.151820
2.067950	1.148358
2.071420	1.142150
2.074880	1.144479
2.078350	1.133224
2.081820	1.132189
2.085280	1.131722
2.088750	1.131720
2.092220	1.126826
2.095680	1.124775
2.099150	1.124739
2.102620	1.119840
2.106080	1.115228
2.109550	1.111517
2.113020	1.106283
2.116490	1.108972
2.119950	1.107448
2.123420	1.095305
2.126890	1.094761
2.130350	1.093551
2.133820	1.087677
2.137290	1.087789
2.140750	1.080977
2.144220	1.076318
2.147690	1.080606
2.151150	1.076382
2.154620	1.073543
