# Average Pressure: 0.08595304785500008
# Average Potential Energy per Particle: -2.4635709274999997
# r	g(r)
0.002271	0.000000
0.006814	0.000000
0.011357	0.000000
0.015900	0.000000
0.020443	0.000000
0.024985	0.000000
0.029528	0.000000
0.034071	0.000000
0.038614	0.000000
0.043157	0.000000
0.047699	0.000000
0.052242	0.000000
0.056785	0.000000
0.061328	0.000000
0.065871	0.000000
0.070413	0.000000
0.074956	0.000000
0.079499	0.000000
0.084042	0.000000
0.088585	0.000000
0.093127	0.000000
0.097670	0.000000
0.102213	0.000000
0.106756	0.000000
0.111299	0.000000
0.115841	0.000000
0.120384	0.000000
0.124927	0.000000
0.129470	0.000000
0.134013	0.000000
0.138555	0.000000
0.143098	0.000000
0.147641	0.000000
0.152184	0.000000
0.156727	0.000000
0.161269	0.000000
0.165812	0.000000
0.170355	0.000000
0.174898	0.000000
0.179441	0.000000
0.183983	0.000000
0.188526	0.000000
0.193069	0.000000
0.197612	0.000000
0.202155	0.000000
0.206697	0.000000
0.211240	0.000000
0.215783	0.000000
0.220326	0.000000
0.224869	0.000000
0.229411	0.000000
0.233954	0.000000
0.238497	0.000000
0.243040	0.000000
0.247583	0.000000
0.252125	0.000000
0.256668	0.000000
0.261211	0.000000
0.265754	0.000000
0.270297	0.000000
0.274839	0.000000
0.279382	0.000000
0.283925	0.000000
0.288468	0.000000
0.293011	0.000000
0.297553	0.000000
0.302096	0.000000
0.306639	0.000000
0.311182	0.000000
0.315725	0.000000
0.320268	0.000000
0.324810	0.000000
0.329353	0.000000
0.333896	0.000000
0.338439	0.000000
0.342982	0.000000
0.347524	0.000000
0.352067	0.000000
0.356610	0.000000
0.361153	0.000000
0.365696	0.000000
0.370238	0.000000
0.374781	0.000000
0.379324	0.000000
0.383867	0.000000
0.388410	0.000000
0.392952	0.000000
0.397495	0.000000
0.402038	0.000000
0.406581	0.000000
0.411124	0.000000
0.415666	0.000000
0.420209	0.000000
0.424752	0.000000
0.429295	0.000000
0.433838	0.000000
0.438380	0.000000
0.442923	0.000000
0.447466	0.000000
0.452009	0.000000
0.456552	0.000000
0.461094	0.000000
0.465637	0.000000
0.470180	0.000000
0.474723	0.000000
0.479266	0.000000
0.483808	0.000000
0.488351	0.000000
0.492894	0.000000
0.497437	0.000000
0.501980	0.000000
0.506522	0.000000
0.511065	0.000000
0.515608	0.000000
0.520151	0.000000
0.524694	0.000000
0.529236	0.000000
0.533779	0.000000
0.538322	0.000000
0.542865	0.000000
0.547408	0.000000
0.551950	0.000000
0.556493	0.000000
0.561036	0.000000
0.565579	0.000000
0.570122	0.000000
0.574664	0.000000
0.579207	0.000000
0.583750	0.000000
0.588293	0.000000
0.592836	0.000000
0.597378	0.000000
0.601921	0.000000
0.606464	0.000000
0.611007	0.000000
0.615550	0.000000
0.620092	0.000000
0.624635	0.000000
0.629178	0.000000
0.633721	0.000000
0.638264	0.000000
0.642806	0.000000
0.647349	0.000000
0.651892	0.000000
0.656435	0.000000
0.660978	0.000000
0.665520	0.000000
0.670063	0.000000
0.674606	0.000000
0.679149	0.000000
0.683692	0.000000
0.688234	0.000000
0.692777	0.000000
0.697320	0.000000
0.701863	0.000000
0.706406	0.000000
0.710948	0.000000
0.715491	0.000000
0.720034	0.000000
0.724577	0.000000
0.729120	0.000000
0.733662	0.000000
0.738205	0.000000
0.742748	0.000000
0.747291	0.000000
0.751834	0.000000
0.756376	0.000000
0.760919	0.000000
0.765462	0.000000
0.770005	0.000000
0.774548	0.000000
0.779090	0.000000
0.783633	0.000000
0.788176	0.000000
0.792719	0.000000
0.797262	0.000000
0.801804	0.000000
0.806347	0.000000
0.810890	0.000000
0.815433	0.000000
0.819976	0.000000
0.824518	0.000000
0.829061	0.000000
0.833604	0.000000
0.838147	0.000000
0.842690	0.000206
0.847232	0.000508
0.851775	0.000402
0.856318	0.001294
0.860861	0.001871
0.865404	0.004191
0.869946	0.004726
0.874489	0.006872
0.879032	0.015964
0.883575	0.020194
0.888118	0.027668
0.892660	0.041493
0.897203	0.055400
0.901746	0.068936
0.906289	0.089752
0.910832	0.112965
0.915374	0.147996
0.919917	0.178191
0.924460	0.222392
0.929003	0.254812
0.933546	0.304430
0.938089	0.358220
0.942631	0.410469
0.947174	0.474555
0.951717	0.532809
0.956260	0.577645
0.960803	0.658299
0.965345	0.709684
0.969888	0.757056
0.974431	0.848943
0.978974	0.888148
0.983517	0.970735
0.988059	1.013341
0.992602	1.091947
0.997145	1.133625
1.001690	1.183742
1.006230	1.247834
1.010770	1.313583
1.015320	1.327981
1.019860	1.366000
1.024400	1.440156
1.028940	1.478211
1.033490	1.486493
1.038030	1.547347
1.042570	1.570220
1.047120	1.571203
1.051660	1.615535
1.056200	1.599703
1.060740	1.627678
1.065290	1.642639
1.069830	1.659458
1.074370	1.684468
1.078920	1.669498
1.083460	1.669765
1.088000	1.683227
1.092540	1.689925
1.097090	1.687179
1.101630	1.685743
1.106170	1.665840
1.110710	1.699099
1.115260	1.680357
1.119800	1.669602
1.124340	1.642106
1.128890	1.639399
1.133430	1.633499
1.137970	1.631981
1.142510	1.633959
1.147060	1.625147
1.151600	1.602940
1.156140	1.592007
1.160690	1.586666
1.165230	1.585929
1.169770	1.572196
1.174310	1.548887
1.178860	1.546059
1.183400	1.545937
1.187940	1.520844
1.192490	1.519698
1.197030	1.516234
1.201570	1.481233
1.206110	1.467537
1.210660	1.459134
1.215200	1.440683
1.219740	1.427813
1.224280	1.431553
1.228830	1.420939
1.233370	1.404543
1.237910	1.391775
1.242460	1.371736
1.247000	1.378704
1.251540	1.347184
1.256080	1.328714
1.260630	1.338491
1.265170	1.325705
1.269710	1.309263
1.274260	1.302146
1.278800	1.307910
1.283340	1.283952
1.287880	1.257838
1.292430	1.258973
1.296970	1.248345
1.301510	1.246843
1.306060	1.236087
1.310600	1.220606
1.315140	1.214465
1.319680	1.197025
1.324230	1.191743
1.328770	1.195056
1.333310	1.182780
1.337860	1.168318
1.342400	1.158156
1.346940	1.166811
1.351480	1.149630
1.356030	1.134319
1.360570	1.128768
1.365110	1.125106
1.369650	1.110458
1.374200	1.112055
1.378740	1.112918
1.383280	1.102912
1.387830	1.086420
1.392370	1.083483
1.396910	1.073905
1.401450	1.083713
1.406000	1.073251
1.410540	1.066532
1.415080	1.061772
1.419630	1.053394
1.424170	1.057121
1.428710	1.049696
1.433250	1.035553
1.437800	1.029620
1.442340	1.025776
1.446880	1.020009
1.451430	1.009786
1.455970	1.012964
1.460510	1.005371
1.465050	1.003363
1.469600	0.999165
1.474140	1.006550
1.478680	0.996670
1.483220	0.983540
1.487770	0.986678
1.492310	0.985367
1.496850	0.989851
1.501400	0.981378
1.505940	0.985571
1.510480	0.972966
1.515020	0.974453
1.519570	0.969490
1.524110	0.956461
1.528650	0.977865
1.533200	0.950436
1.537740	0.952669
1.542280	0.955013
1.546820	0.946057
1.551370	0.955565
1.555910	0.946106
1.560450	0.941264
1.565000	0.940366
